raceId,year,round,nameRace,date,time,circuitRef,nameCircuit,location,country,lat,lng,alt
1008,2018,20,Brazilian Grand Prix,2018-11-11,17:10:00,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
1009,2018,21,Abu Dhabi Grand Prix,2018-11-25,13:10:00,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3.0
1010,2019,1,Australian Grand Prix,2019-03-17,05:10:00,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10.0
1011,2019,2,Bahrain Grand Prix,2019-03-31,15:10:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
1012,2019,3,Chinese Grand Prix,2019-04-14,06:10:00,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0
1013,2019,4,Azerbaijan Grand Prix,2019-04-28,12:10:00,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7.0
1014,2019,5,Spanish Grand Prix,2019-05-12,13:10:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
1015,2019,6,Monaco Grand Prix,2019-05-26,13:10:00,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
1016,2019,7,Canadian Grand Prix,2019-06-09,18:10:00,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13.0
1017,2019,8,French Grand Prix,2019-06-23,13:10:00,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432.0
1018,2019,9,Austrian Grand Prix,2019-06-30,13:10:00,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0
1019,2019,10,British Grand Prix,2019-07-14,13:10:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
1020,2019,11,German Grand Prix,2019-07-28,13:10:00,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103.0
1021,2019,12,Hungarian Grand Prix,2019-08-04,13:10:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
1022,2019,13,Belgian Grand Prix,2019-09-01,13:10:00,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
1023,2019,14,Italian Grand Prix,2019-09-08,13:10:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
1024,2019,15,Singapore Grand Prix,2019-09-22,12:10:00,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18.0
1025,2019,16,Russian Grand Prix,2019-09-29,11:10:00,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2.0
