raceId,year,round,nameRace,date,time,circuitRef,nameCircuit,location,country,lat,lng,alt
60,2006,8,British Grand Prix,2006-06-11,12:00:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
61,2006,9,Canadian Grand Prix,2006-06-25,13:00:00,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13.0
62,2006,10,United States Grand Prix,2006-07-02,14:00:00,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,223.0
63,2006,11,French Grand Prix,2006-07-16,14:00:00,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,228.0
64,2006,12,German Grand Prix,2006-07-30,14:00:00,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103.0
65,2006,13,Hungarian Grand Prix,2006-08-06,14:00:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
66,2006,14,Turkish Grand Prix,2006-08-27,15:00:00,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130.0
67,2006,15,Italian Grand Prix,2006-09-10,14:00:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
68,2006,16,Chinese Grand Prix,2006-10-01,14:00:00,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0
69,2006,17,Japanese Grand Prix,2006-10-08,14:00:00,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45.0
